touchpoint_id,customer_id,channel,touchpoint_date,touchpoint_time,is_first_touch,is_last_touch,journey_position,journey_length,session_duration_sec,page_views,cost_usd,converted,revenue_usd,region,device,industry,product
1,CUST_CFCD2084,Paid Social,2024-09-10,17:46:28,True,False,1,2,19,3,8.5495,False,0,North America,Desktop,Manufacturing,
2,CUST_CFCD2084,Paid Social,2024-09-20,22:30:24,False,True,2,2,309,1,2.1524,False,0,North America,Desktop,Manufacturing,
3,CUST_C4CA4238,Direct,2025-02-03,21:43:51,True,False,1,4,266,3,0.206,False,0,North America,Tablet,Healthcare,
4,CUST_C4CA4238,Paid Social,2025-02-24,13:12:16,False,False,2,4,109,9,5.9777,False,0,North America,Tablet,Healthcare,
5,CUST_C4CA4238,Email,2025-03-27,17:09:17,False,False,3,4,331,7,0.6648,False,0,North America,Tablet,Healthcare,
6,CUST_C4CA4238,Organic Search,2025-04-01,05:01:17,False,True,4,4,47,3,0.8807,True,1200,North America,Tablet,Healthcare,Pro Plan
7,CUST_C81E728D,Paid Search,2025-06-22,16:13:14,True,True,1,1,310,1,9.6953,False,0,North America,Mobile,Healthcare,
8,CUST_ECCBC87E,Organic Search,2025-05-03,11:27:08,True,False,1,4,56,7,1.3696,False,0,MEA,Mobile,Tech,
9,CUST_ECCBC87E,Affiliate,2025-05-15,11:59:45,False,False,2,4,9,3,2.4375,False,0,MEA,Mobile,Tech,
10,CUST_ECCBC87E,Direct,2025-05-16,10:58:30,False,False,3,4,393,1,0.2649,False,0,MEA,Mobile,Tech,
11,CUST_ECCBC87E,Direct,2025-05-19,15:08:18,False,True,4,4,294,2,0.2209,True,4800,MEA,Mobile,Tech,Enterprise Plan
12,CUST_A87FF679,Video Ads,2025-05-16,22:00:30,True,True,1,1,24,1,2.3751,False,0,LATAM,Desktop,Tech,
13,CUST_E4DA3B7F,Video Ads,2024-09-25,22:03:01,True,False,1,4,185,2,2.6473,False,0,APAC,Desktop,Finance,
14,CUST_E4DA3B7F,Display Ads,2024-09-26,06:46:35,False,False,2,4,23,3,5.5504,False,0,APAC,Desktop,Finance,
15,CUST_E4DA3B7F,Direct,2024-10-21,06:50:09,False,False,3,4,500,1,0.1437,False,0,APAC,Desktop,Finance,
16,CUST_E4DA3B7F,Paid Social,2024-10-22,14:11:54,False,True,4,4,48,7,1.7901,False,0,APAC,Desktop,Finance,
